,batch_size,momentum,lr,width,weight_decay,grawa,mgrawa,avg_train_loss,avg_train_error,avg_test_loss,avg_test_error
15,128,0.1,0.075,4,0.01,208284.6875,790531.75,0.017810453968048097,0.0,0.43951755390167235,13.029999999999998
16,32,0.9,0.075,4,0,0.6412975788116455,3.678919553756714,8.374977111816406e-07,0.0,1.091925128173828,16.42
17,512,0.9,0.05,4,0.0001,291.7591247558594,1493.69384765625,0.00020249134063720704,0.0,1.1041996982574462,23.69
18,32,0.1,0.075,6,0.0001,104.61226654052734,492.7121887207031,4.6789608001708986e-05,0.0,0.8805564705848694,19.75
19,128,0.1,0.075,6,0.01,131555.96875,511575.375,0.017747046155929567,0.0,0.42542756185531616,12.809999999999999
20,128,0.1,0.05,4,0,164.76846313476562,756.4022827148438,7.84572410583496e-05,0.0,1.6328252236366272,29.800000000000004
21,512,0.1,0.05,4,0.0001,1277.721923828125,6457.43359375,0.0009200165939331055,0.0,1.876945116996765,36.36000000000001
22,32,0.9,0.075,8,0.01,140411.15625,589571.625,0.01607661816596985,0.0,0.47372159996032714,14.449999999999996
23,32,0.9,0.05,6,0.0001,100.82574462890625,635.61572265625,0.00013636286735534668,0.0,0.5852292032241821,14.729999999999999
24,32,0.1,0.1,8,0.01,108847.8515625,410643.375,0.015048599863052368,0.0,0.35283813591003416,10.509999999999998
25,32,0.1,0.1,6,0,12.600905418395996,59.261375427246094,5.945892333984375e-06,0.0,1.0518554016113282,19.210000000000004
26,32,0.1,0.1,4,0.0001,127.59226989746094,699.9403686523438,8.673704147338867e-05,0.0,0.8381766242980957,19.899999999999995
27,512,0.5,0.075,4,0,349.8335876464844,1704.5137939453125,0.0002266061019897461,0.0,1.6373311321258546,30.55
28,128,0.9,0.1,8,0,14.53628921508789,67.23969268798828,1.1178741455078125e-05,0.0,0.9612468297958374,17.500000000000004
29,128,0.9,0.075,4,0.0001,544.7237548828125,2711.55517578125,0.00016635551452636718,0.0,0.6884139213562012,18.020000000000003
30,128,0.5,0.1,8,0.01,162257.921875,635318.6875,0.01603244475364685,0.0,0.36527703614234924,10.98
31,32,0.5,0.05,6,0.0001,107.68539428710938,506.5897216796875,5.5284423828125e-05,0.0,0.8227628269195557,19.16
32,512,0.5,0.05,4,0,471.21942138671875,2386.335693359375,0.0003391873264312744,0.0,1.7904159744262695,32.830000000000005
33,32,0.5,0.1,4,0.0001,114.29185485839844,657.0609741210938,0.00010028680801391601,0.0,0.7433346760749817,17.97
34,512,0.5,0.1,4,0.01,146149.765625,555147.4375,0.02126428653717041,0.0,0.47493676872253415,14.200000000000001
35,512,0.9,0.05,6,0.01,165009.140625,682547.5,0.020677229804992675,0.0,0.35635244140625,10.570000000000002
36,512,0.9,0.05,6,0,101.20533752441406,500.3475036621094,6.973703384399414e-05,0.0,1.149730295753479,22.740000000000006
37,512,0.5,0.1,6,0.01,106243.015625,461975.09375,0.02093928590774536,0.0,0.47753026142120364,14.500000000000002
38,512,0.9,0.1,4,0,34.98992919921875,176.87144470214844,2.6953144073486327e-05,0.0,1.0709955722808837,19.650000000000002
39,32,0.9,0.05,8,0,5.741375923156738,29.36761474609375,5.291175842285156e-06,0.0,0.9736836708068848,15.790000000000004
40,128,0.1,0.075,4,0,89.19446563720703,439.44256591796875,5.210460662841797e-05,0.0,1.5899943771362304,29.110000000000003
41,512,0.9,0.075,4,0,45.54979705810547,233.15176391601562,3.445121765136719e-05,0.0,1.1885307350158691,21.47
42,128,0.5,0.05,4,0.01,217519.453125,831471.5625,0.017722211360931397,0.0,0.4299520114421844,12.329999999999997
43,512,0.5,0.1,6,0.0001,514.0628051757812,2443.3466796875,0.0003388768196105957,0.0,1.2124562322616577,25.900000000000002
44,128,0.1,0.05,6,0.0001,282.65594482421875,1413.93017578125,0.00016132856369018554,0.0,1.4168053394317628,28.990000000000006
45,32,0.9,0.05,8,0.01,101090.7109375,396432.65625,0.014440063438415527,0.0,0.42456248092651366,13.190000000000001
46,32,0.9,0.05,4,0.0001,87.54527282714844,581.9846801757812,0.00014731413841247558,0.0,0.6305099856376648,15.059999999999995
47,512,0.5,0.1,4,0.0001,447.9482421875,2169.68798828125,0.00028034416198730467,0.0,1.436914493560791,29.01
48,32,0.5,0.05,4,0,37.92903518676758,199.5863037109375,7.968292236328124e-06,0.0,1.2246055503845215,21.540000000000003
49,128,0.9,0.05,8,0,17.80721664428711,83.60009002685547,1.3241691589355468e-05,0.0,0.9515684326171875,17.900000000000006
50,32,0.1,0.05,8,0.01,141575.796875,506095.09375,0.017768620867729186,0.0,0.36874915857315066,11.060000000000002
51,32,0.5,0.05,8,0.01,123176.21875,475787.25,0.016306709637641907,0.0,0.32452932348251345,9.489999999999998
52,512,0.9,0.1,4,0.01,224350.703125,761519.125,0.019105905542373656,0.0,0.3797149480342865,11.209999999999997
53,128,0.9,0.1,4,0,4.971245288848877,24.078996658325195,4.84893798828125e-06,0.0,1.059384276485443,17.73
